iter	Passed	Remaining
578	9298	9973
579	9313	9955
580	9333	9944
581	9352	9931
582	9384	9932
583	9406	9921
584	9423	9906
585	9439	9890
586	9453	9872
587	9468	9854
588	9484	9838
589	9500	9822
590	9517	9807
591	9536	9794
592	9553	9779
593	9571	9764
594	9587	9748
595	9608	9737
596	9626	9722
597	9645	9710
598	9662	9695
599	9683	9683
600	9706	9673
601	9724	9659
602	9746	9649
603	9770	9640
604	9794	9632
605	9820	9626
606	9842	9615
607	9862	9603
608	9887	9595
609	9908	9583
610	9928	9571
611	9948	9558
612	9967	9544
613	9986	9530
614	10007	9519
615	10033	9512
616	10058	9503
617	10086	9498
618	10120	9498
619	10143	9488
620	10162	9475
621	10187	9466
622	10214	9460
623	10234	9447
624	10255	9434
625	10278	9425
626	10297	9410
627	10318	9398
628	10338	9385
629	10358	9371
630	10382	9362
631	10406	9352
632	10430	9342
633	10450	9329
634	10472	9318
635	10491	9304
636	10512	9291
637	10530	9276
638	10549	9261
639	10570	9249
640	10589	9234
641	10608	9220
642	10624	9203
643	10638	9184
644	10656	9169
645	10675	9155
646	10692	9139
647	10709	9123
648	10728	9108
649	10743	9090
650	10758	9072
651	10774	9055
652	10790	9038
653	10804	9020
654	10820	9003
655	10835	8985
656	10851	8968
657	10867	8951
658	10882	8934
659	10897	8916
660	10915	8900
661	10929	8882
662	10944	8864
663	10957	8845
664	10971	8826
665	10986	8808
666	11000	8790
667	11016	8773
668	11031	8756
669	11045	8737
670	11065	8723
671	11083	8708
672	11100	8692
673	11116	8675
674	11133	8659
675	11149	8642
676	11166	8626
677	11182	8609
678	11197	8592
679	11213	8575
680	11230	8558
681	11246	8541
682	11264	8526
683	11280	8510
684	11298	8494
685	11317	8479
686	11334	8463
687	11349	8445
688	11362	8426
689	11376	8408
690	11389	8389
691	11403	8371
692	11416	8352
693	11430	8334
694	11444	8315
695	11460	8298
696	11474	8280
697	11488	8262
698	11502	8244
699	11516	8226
700	11532	8209
701	11547	8191
702	11563	8175
703	11580	8158
704	11596	8142
705	11611	8124
706	11623	8105
707	11638	8088
708	11654	8071
709	11672	8055
710	11690	8040
711	11705	8022
712	11719	8004
713	11733	7986
714	11748	7968
715	11764	7952
716	11778	7934
717	11792	7916
718	11806	7898
719	11820	7880
720	11836	7863
721	11850	7845
722	11865	7828
723	11881	7811
724	11897	7795
725	11913	7777
726	11927	7760
727	11942	7742
728	11958	7726
729	11974	7709
730	11989	7692
731	12003	7674
732	12016	7656
733	12030	7637
734	12044	7620
735	12059	7602
736	12075	7585
737	12091	7569
738	12109	7553
739	12124	7537
740	12141	7520
741	12156	7503
742	12172	7486
743	12187	7469
744	12201	7452
745	12217	7435
746	12232	7418
747	12248	7401
748	12263	7384
749	12277	7366
750	12291	7348
751	12304	7330
752	12320	7313
753	12335	7296
754	12350	7279
